Table 1.2 Primary Energy Production by Source,,,,,,,,,,,,,
,,,,,,,,,,,,,
Annual Total((Quadrillion Btu)),Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
1980,18.597726,19.9076,18.248917,2.224841,58.979084,2.739169,2.900144,0.052699,Not Available,Not Available,2.4755,5.428342,67.146595
1981,18.376773,19.699155,18.146019,2.266284,58.488231,3.007589,2.757968,0.059437,Not Available,Not Available,2.596283,5.413688,66.909508
1982,18.638773,18.319025,18.308947,2.149202,57.415947,3.131148,3.265558,0.050627,Not Available,Not Available,2.663452,5.979637,66.526732
1983,17.246671,16.593389,18.391794,2.136317,54.368171,3.202549,3.52726,0.06391,Not Available,0.000028,2.904414,6.495612,64.066333
1984,19.719216,18.007933,18.848237,2.233806,58.809192,3.552531,3.385811,0.080811,0.000055,0.000068,2.97112,6.437864,68.799586
1985,19.325166,16.98038,18.992407,2.203767,57.501721,4.075563,2.970192,0.097421,0.000111,0.00006,3.016233,6.084017,67.6613
1986,19.509466,16.540801,18.375862,2.112878,56.539007,4.380109,3.071179,0.107677,0.000147,0.000044,2.932095,6.11114,67.030256
1987,20.141104,17.135819,17.674787,2.178933,57.130643,4.753933,2.634508,0.11227,0.000109,0.000037,2.874884,5.621807,67.506383
1988,20.737639,17.598597,17.278931,2.23069,57.845857,5.586968,2.334265,0.106338,0.000094,0.000009,3.016049,5.456754,68.889579
1989,21.360178,17.847275,16.116883,2.123367,57.447703,5.602161,2.837263,0.161539,0.054466,0.022033,3.159357,6.234658,69.284522
1990,22.487548,18.326155,15.571185,2.138298,58.523186,6.10435,3.046391,0.170747,0.058768,0.029007,2.735112,6.040024,70.667561
1991,21.636424,18.228736,15.700826,2.265161,57.831148,6.422132,3.015943,0.177626,0.061623,0.030796,2.781797,6.067785,70.321066
1992,21.694132,18.3751,15.222863,2.322585,57.614681,6.479206,2.617436,0.178699,0.06288,0.029863,2.931678,5.820556,69.914443
1993,20.335654,18.584037,14.49439,2.36619,55.78027,6.410499,2.891613,0.185673,0.06519,0.030987,2.908446,6.081909,68.272678
1994,22.202083,19.348013,14.102563,2.349386,58.002045,6.693877,2.683457,0.173464,0.067126,0.03556,3.027534,5.987142,70.683064
1995,22.12955,19.082245,13.886754,2.397846,57.496395,7.075436,3.205307,0.152057,0.068233,0.03263,3.099082,6.557308,71.12914
1996,22.790148,19.344268,13.722899,2.480343,58.337658,7.086674,3.589656,0.163359,0.069134,0.03344,3.155301,7.010889,72.435221
1997,23.309614,19.393851,13.65802,2.444798,58.806283,6.596992,3.640458,0.166698,0.068166,0.033581,3.107908,7.01681,72.420085
1998,24.045198,19.613295,13.23513,2.372294,59.265918,7.067809,3.297054,0.16845,0.067449,0.030853,2.92893,6.492735,72.826461
1999,23.295084,19.340703,12.451046,2.472965,57.559797,7.610256,3.267575,0.170921,0.066066,0.045894,2.965132,6.515588,71.685641
2000,22.735478,19.661529,12.358101,2.551466,57.306574,7.862349,2.811116,0.164364,0.063469,0.057057,3.005661,6.101667,71.27059
2001,23.54708,20.165567,12.281566,2.490533,58.484745,8.028853,2.241858,0.164461,0.061674,0.069617,2.624162,5.161772,71.675371
2002,22.732237,19.382055,12.160213,2.502206,56.776711,8.145429,2.689017,0.171164,0.05998,0.105334,2.705406,5.730902,70.653042
2003,22.093652,19.633304,11.959568,2.296059,55.982583,7.959622,2.792539,0.173445,0.058432,0.113273,2.804778,5.942467,69.884672
2004,22.852099,19.074254,11.550086,2.407581,55.88402,8.222774,2.688468,0.178147,0.058376,0.141664,2.996017,6.062671,70.169464
2005,23.185189,18.556015,10.974152,2.279946,54.995301,8.16081,2.702942,0.180703,0.057893,0.178088,3.101186,6.220812,69.376923
2006,23.78951,19.021706,10.766775,2.298717,55.876707,8.214626,2.869035,0.1812,0.060755,0.263738,3.211515,6.586243,70.677577
2007,23.492742,19.786209,10.741447,2.348716,56.369113,8.458589,2.446389,0.185774,0.065621,0.340503,3.47208,6.510367,71.338069
2008,23.851368,20.702884,10.613302,2.359299,57.526852,8.426491,2.511108,0.192433,0.074207,0.545548,3.86825,7.191546,73.14489
2009,21.623721,21.13945,11.340126,2.508252,56.611549,8.35522,2.668824,0.200185,0.078178,0.721129,3.956617,7.624932,72.591701
2010,22.038226,21.805763,11.610185,2.704829,58.159003,8.434433,2.538541,0.207979,0.091282,0.923427,4.552532,8.313762,74.907198
2011,22.221407,23.40572,11.996231,2.890075,60.513432,8.268698,3.102852,0.212311,0.112429,1.167636,4.704321,9.299548,78.081679
2012,20.676893,24.610065,13.837077,3.162126,62.286161,8.061822,2.628702,0.211592,0.158961,1.340059,4.546704,8.886018,79.234001
2013,20.001304,24.859072,15.862426,3.451386,64.174188,8.244433,2.562382,0.214006,0.224524,1.601359,4.815632,9.417903,81.836524
2014,20.285705,26.718073,18.601811,4.005085,69.610673,8.337559,2.466577,0.21449,0.337543,1.727542,5.020366,9.766517,87.714749
2015,17.946095,28.066882,19.695854,4.475993,70.184824,8.336886,2.321177,0.211836,0.426867,1.777306,4.991579,9.728765,88.250475
2016,14.667089,27.576023,18.511717,4.664785,65.419614,8.426753,2.472442,0.209604,0.570368,2.095595,5.074863,10.422872,84.269238
2017,15.625377,28.289335,19.534988,4.987096,68.436796,8.418968,2.766967,0.210233,0.777084,2.342891,5.098747,11.195923,88.051687
2018,15.363442,31.689895,22.889737,5.726973,75.670047,8.438068,2.663138,0.208865,0.915513,2.482364,5.238484,11.508364,95.616479
2019,14.268057,34.902356,25.473071,6.336608,80.980092,8.462374,2.491832,0.20926,1.042856,2.731847,5.161181,11.636976,101.079442
